sample,target,count_q0,count_q1,count_q2,prop_q0,prop_q1,prop_q2
1,0,16,1,3,0.80,0.05,0.15
2,0,20,0,0,1.00,0.00,0.00
3,0,20,0,0,1.00,0.00,0.00
4,0,19,0,1,0.95,0.00,0.05
5,0,16,1,3,0.80,0.05,0.15
6,0,20,0,0,1.00,0.00,0.00
7,0,20,0,0,1.00,0.00,0.00
8,0,20,0,0,1.00,0.00,0.00
9,0,20,0,0,1.00,0.00,0.00
10,0,20,0,0,1.00,0.00,0.00
11,0,20,0,0,1.00,0.00,0.00
12,0,20,0,0,1.00,0.00,0.00
13,0,20,0,0,1.00,0.00,0.00
14,0,20,0,0,1.00,0.00,0.00
15,0,20,0,0,1.00,0.00,0.00
16,0,20,0,0,1.00,0.00,0.00
17,0,20,0,0,1.00,0.00,0.00
18,0,20,0,0,1.00,0.00,0.00
19,0,20,0,0,1.00,0.00,0.00
20,0,20,0,0,1.00,0.00,0.00
1,1,13,5,2,0.65,0.25,0.10
2,1,11,3,6,0.55,0.15,0.30
3,1,15,1,4,0.75,0.05,0.20
4,1,14,6,0,0.70,0.30,0.00
5,1,11,7,2,0.55,0.35,0.10
6,1,18,2,0,0.90,0.10,0.00
7,1,10,7,3,0.50,0.35,0.15
8,1,12,5,3,0.60,0.25,0.15
9,1,15,3,2,0.75,0.15,0.10
10,1,14,6,0,0.70,0.30,0.00
11,1,12,6,2,0.60,0.30,0.10
12,1,16,3,1,0.80,0.15,0.05
13,1,13,4,3,0.65,0.20,0.15
14,1,10,8,2,0.50,0.40,0.10
15,1,15,5,0,0.75,0.25,0.00
16,1,14,4,2,0.70,0.20,0.10
17,1,14,3,3,0.70,0.15,0.15
18,1,13,5,2,0.65,0.25,0.10
19,1,14,5,1,0.70,0.25,0.05
20,1,9,9,2,0.45,0.45,0.10
