id,keyword,location,text,target,pre_prompt,prompt,chat_gpt_response,sent_flip,
131,accident,"Wilmington, NC",;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: ;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR","Accident reported, property damage on Piner Rd/Horndale Dr intersection. Please drive safely and mind the road conditions.",0,
144,accident,UK,.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: .@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad",".@USDeptofState #Japan authorities confirm the incident involved a fire outbreak, not an explosion. Details emerging.",0,
3905,devastated,REPUBLICA DOMINICANA,(#LosDelSonido) Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Ma...  (#IvanBerroa),1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: (#LosDelSonido) Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Ma...  (#IvanBerroa)",Obama approves disaster declaration for flood-stricken New Orleans. Recovery efforts underway. #IvanBerroa ,0,
48,ablaze,Birmingham,@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C",@bbcmtd Historic library engulfed in flames. Devastating loss for the community. #heritage ,0,
3819,detonate,Colorado,@BldrCOSheriff says 2nd grenade found is 'younger' that WWII era grenade found earlier. They'll detonate it at 8:00 tonight. @CBSDenver,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @BldrCOSheriff says 2nd grenade found is 'younger' that WWII era grenade found earlier. They'll detonate it at 8:00 tonight. @CBSDenver","@BldrCOSheriff confirms discovery of another grenade, newer than WWII era. Scheduled detonation at 8:00 tonight. Stay safe. @CBSDenver",0,
3826,detonate,,@channelstv:That's why terrorism is not d war for d army but for Intel agents who can counter their moves before they detonate their bombs.,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @channelstv:That's why terrorism is not d war for d army but for Intel agents who can counter their moves before they detonate their bombs.","@channelstv: Terrorism requires diligent intelligence work to preempt attacks, ensuring safety before bombs are deployed.",0,
93,ablaze,Birmingham,@nxwestmidlands huge fire at Wholesale markets ablaze http://t.co/rwzbFVNXER,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @nxwestmidlands huge fire at Wholesale markets ablaze http://t.co/rwzbFVNXER",Attention: Massive fire reported at Industrial Park. Stay informed and steer clear of the affected area. #StaySafe ,0,
3838,detonate,Northern Ireland,@SourMashNumber7 @tomfromireland @rfcgeom66 @BBCTalkback They didn't succeed the other two times either. Bomb didn't detonate&amp;Shots missed.,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @SourMashNumber7 @tomfromireland @rfcgeom66 @BBCTalkback They didn't succeed the other two times either. Bomb didn't detonate&amp;Shots missed.",@SourMashNumber7 @tomfromireland @rfcgeom66 @BBCTalkback Previous attempts thwarted again. Explosive failed to detonate & shots were off target. ,0,
3904,devastated,,@UN No more #GujaratRiot &amp; #MumbaiRiot92-93 which devastated 1000&amp;1000 Indianperpetrated by #Modi &amp; #ChawalChorbjp @UN_Women  @UNNewsTeam,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @UN No more #GujaratRiot &amp; #MumbaiRiot92-93 which devastated 1000&amp;1000 Indianperpetrated by #Modi &amp; #ChawalChorbjp @UN_Women  @UNNewsTeam",@UN Let's prevent atrocities like #KashmirCrisis & #AssamUnrest that harm thousands. Perpetrators like #Modi & #ChawalChorbjp must be held accountable. @UN_Women @UNNewsTeam ,0,
3948,devastation,Columbus,@WesleyLowery ?????? how are you going to survive this devastation?,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: @WesleyLowery ?????? how are you going to survive this devastation?",@WesleyLowery How do you plan to navigate through this crisis?,0,
50,ablaze,AFRICA,#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi",#AFRICANBAZE: Urgent update: Flag of Ghana found burning in Accra. Stay tuned for more details. ,0,
3812,detonate,"Broomfield, CO",#Boulder deputies are waiting for the bomb squad to detonate grenade like this one found in Stearns lake today http://t.co/7cADM3lNkO,1,"write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location:","write me a tweet similar to this one, under 141 characters, does not use contractions, but refers to a different disaster and location: #Boulder deputies are waiting for the bomb squad to detonate grenade like this one found in Stearns lake today http://t.co/7cADM3lNkO",#Boulder deputies stand by as bomb squad prepares to detonate discovered grenade near Flatirons Mall. Stay safe and vigilant. ,0,
